InvoiceID,CustomerID,InvoiceDate,ProductCategory,Quantity,UnitPrice,TotalAmount,Channel,Region
INV20001,CUST001,2024-01-01 10:00,Electronics,1,299.99,299.99,Online,North
INV20002,CUST002,2024-01-02 10:00,Apparel,2,39.99,79.98,In-Store,South
INV20003,CUST003,2024-01-03 10:00,Home,3,24.99,74.97,Online,East
INV20004,CUST004,2024-01-04 10:00,Beauty,4,12.99,51.96,In-Store,West
INV20005,CUST005,2024-01-05 10:00,Grocery,5,4.99,24.95,Online,North
INV20006,CUST006,2024-01-06 10:00,Electronics,6,299.99,1799.94,In-Store,South
INV20007,CUST007,2024-01-07 10:00,Apparel,7,39.99,279.93,Online,East
INV20008,CUST008,2024-01-08 10:00,Home,8,24.99,199.92,In-Store,West
INV20009,CUST009,2024-01-09 10:00,Beauty,1,12.99,12.99,Online,North
INV20010,CUST010,2024-01-10 10:00,Grocery,2,4.99,9.98,In-Store,South
INV20011,CUST011,2024-01-11 10:00,Electronics,3,299.99,899.97,Online,East
INV20012,CUST012,2024-01-12 10:00,Apparel,4,39.99,159.96,In-Store,West
INV20013,CUST013,2024-01-13 10:00,Home,5,24.99,124.95,Online,North
INV20014,CUST014,2024-01-14 10:00,Beauty,6,12.99,77.94,In-Store,South
INV20015,CUST015,2024-01-15 10:00,Grocery,7,4.99,34.93,Online,East
INV20016,CUST016,2024-01-16 10:00,Electronics,8,299.99,2399.92,In-Store,West
INV20017,CUST017,2024-01-17 10:00,Apparel,1,39.99,39.99,Online,North
INV20018,CUST018,2024-01-18 10:00,Home,2,24.99,49.98,In-Store,South
INV20019,CUST019,2024-01-19 10:00,Beauty,3,12.99,38.97,Online,East
INV20020,CUST020,2024-01-20 10:00,Grocery,4,4.99,19.96,In-Store,West
INV20021,CUST021,2024-01-21 10:00,Electronics,5,299.99,1499.95,Online,North
INV20022,CUST022,2024-01-22 10:00,Apparel,6,39.99,239.94,In-Store,South
INV20023,CUST023,2024-01-23 10:00,Home,7,24.99,174.93,Online,East
INV20024,CUST024,2024-01-24 10:00,Beauty,8,12.99,103.92,In-Store,West
INV20025,CUST025,2024-01-25 10:00,Grocery,1,4.99,4.99,Online,North
INV20026,CUST026,2024-01-26 10:00,Electronics,2,299.99,599.98,In-Store,South
INV20027,CUST027,2024-01-27 10:00,Apparel,3,39.99,119.97,Online,East
INV20028,CUST028,2024-01-28 10:00,Home,4,24.99,99.96,In-Store,West
INV20029,CUST029,2024-01-29 10:00,Beauty,5,12.99,64.95,Online,North
INV20030,CUST030,2024-01-30 10:00,Grocery,6,4.99,29.94,In-Store,South
INV20031,CUST031,2024-01-31 10:00,Electronics,7,299.99,2099.93,Online,East
INV20032,CUST032,2024-02-01 10:00,Apparel,8,39.99,319.92,In-Store,West
INV20033,CUST033,2024-02-02 10:00,Home,1,24.99,24.99,Online,North
INV20034,CUST034,2024-02-03 10:00,Beauty,2,12.99,25.98,In-Store,South
INV20035,CUST035,2024-02-04 10:00,Grocery,3,4.99,14.97,Online,East
INV20036,CUST036,2024-02-05 10:00,Electronics,4,299.99,1199.96,In-Store,West
INV20037,CUST037,2024-02-06 10:00,Apparel,5,39.99,199.95,Online,North
INV20038,CUST038,2024-02-07 10:00,Home,6,24.99,149.94,In-Store,South
INV20039,CUST039,2024-02-08 10:00,Beauty,7,12.99,90.93,Online,East
